title,iLibraryUrl,identifier,dateOfPublication
Public Debt Management and Political Cycles,development/public-debt-management-and-political-cycles_228367716681,228367716681,2008-10-01
Firm Dynamics and Productivity Growth,economics/firm-dynamics-and-productivity-growth_054842728775,054842728775,2001-06-07
Fiscalité et dépenses en Amérique latine,development/fiscalite-et-depenses-en-amerique-latine_228400785342,228400785342,2008-10-01
Socio-Economic Differences in Mortality,social-issues-migration-health/socio-economic-differences-in-mortality_231747416062,231747416062,2008-12-05
Selecting Indicators for the Quality of Mental Health Care at the Health Systems Level in OECD Countries,social-issues-migration-health/selecting-indicators-for-the-quality-of-mental-health-care-at-the-health-systems-level-in-oecd-countries_388745076135,388745076135,2004-10-28
Report of the OECD Task Force on Spam,science-and-technology/report-of-the-oecd-task-force-on-spam_231503010627,231503010627,2006-04-19
Broadband over Power Lines (BPL),science-and-technology/broadband-over-power-lines-bpl_222266878856,222266878856,2009-06-04
Towards a Framework for Assessing Family Policies in the EU,social-issues-migration-health/towards-a-framework-for-assessing-family-policies-in-the-eu_223883627348,223883627348,2009-06-03
SHA-Based Health Accounts in 13 OECD Countries - Country Studies - Mexico,social-issues-migration-health/sha-based-health-accounts-in-13-oecd-countries-country-studies-mexico_404131534878,404131534878,2004-09-07
Perspectives économiques en Afrique 2006,development/perspectives-economiques-en-afrique-2006_246465282386,246465282386,2006-05-01
The New OECD International Trade Model,economics/the-new-oecd-international-trade-model_680050777016,680050777016,2005-08-10
Le Centre Mawson,education/le-centre-mawson_527140514454,527140514454,2006-02-01
Projet OCDE sur la migration des professionnels de santé,social-issues-migration-health/projet-ocde-sur-la-migration-des-professionnels-de-sante_236145847751,236145847751,2008-10-01
Access for Business,science-and-technology/access-for-business_233271430048,233271430048,2002-12-04
The Determinants and Properties of Monetary Conditions,economics/the-determinants-and-properties-of-monetary-conditions_528200201458,528200201458,1994-01-01
ICT Investment and Economic Growth in the 1990s,science-and-technology/ict-investment-and-economic-growth-in-the-1990s_078325004705,078325004705,2001-10-25
La réforme du secteur financier en Afrique,development/la-reforme-du-secteur-financier-en-afrique_463385011306,463385011306,2002-07-01
Une école australienne de sciences et de mathématiques à l'université de Flinders en Australie méridionale,education/une-ecole-australienne-de-sciences-et-de-mathematiques-a-l-universite-de-flinders-en-australie-meridionale_736551377633,736551377633,2002-06-01
Building Schools for the Future in the United Kingdom,education/building-schools-for-the-future-in-the-united-kingdom_577803422136,577803422136,2005-02-01
Après Gleneagles,development/apres-gleneagles_186383603083,186383603083,2006-12-01
New Zealand: Modernising Schools in a Decentralised Environment,education/new-zealand-modernising-schools-in-a-decentralised-environment_245523383514,245523383514,2008-02-01
Consolidating Macroeconomic Adjustment in Brazil,economics/consolidating-macroeconomic-adjustment-in-brazil_361015676222,361015676222,2006-12-05
"A ""Credit Crunch""?",economics/a-credit-crunch_657730454204,657730454204,1992-01-01
Japan's Eco-school Programme,education/japan-s-eco-school-programme_077786224650,077786224650,2007-09-01
Privatisation,development/privatisation_246802423384,246802423384,2005-12-01
Overcoming the Financial Crisis in the United States,economics/overcoming-the-financial-crisis-in-the-united-states_226765644531,226765644531,2009-02-24
Post-Crisis Changes in Banking and Corporate Landscapes in Dynamic Asia,economics/post-crisis-changes-in-banking-and-corporate-landscapes-in-dynamic-asia_235437184066,235437184066,2003-07-02
Higher Food Prices,development/higher-food-prices_240032517317,240032517317,2008-05-01
A Flexible School for Early Childhood Education in Italy,education/a-flexible-school-for-early-childhood-education-in-italy_241342175021,241342175021,2008-06-01
Social Assistance in Germany,social-issues-migration-health/social-assistance-in-germany_338133058573,338133058573,2003-01-09
Meeting the Challenges of Decentralisation in France,economics/meeting-the-challenges-of-decentralisation-in-france_127050885680,127050885680,2007-08-01
Ageing and Care for Frail Elderly Persons,social-issues-migration-health/ageing-and-care-for-frail-elderly-persons_313777154147,313777154147,1999-04-20
Activation Policies in Ireland,social-issues-migration-health/activation-policies-in-ireland_227626803333,227626803333,2009-01-08
Promoting Biodiversity Co-Benefits in REDD,environment/promoting-biodiversity-co-benefits-in-redd_220188577008,220188577008,2009-11-27
Market Imperfections and Employment,employment/market-imperfections-and-employment_824728761027,824728761027,1995-01-01
"The External Financing of Brazilian Imports (Special Series on Mixed Credits, in Collaboration with ICEPS)",development/the-external-financing-of-brazilian-imports-special-series-on-mixed-credits-in-collaboration-with-iceps_482082781166,482082781166,1991-10-01
Le point sur les coûts des échanges,trade/le-point-sur-les-couts-des-echanges_218843212846,218843212846,2009-10-09
Research and Initiatives for a New Approach to Educational Building in Italy,education/research-and-initiatives-for-a-new-approach-to-educational-building-in-italy_754854884414,754854884414,2002-02-01
Les caractéristiques du marché du travail et la mobilité internationale des titulaires de doctorat,science-and-technology/les-caracteristiques-du-marche-du-travail-et-la-mobilite-internationale-des-titulaires-de-doctorat_308011480608,308011480608,2007-02-05
Modelling Housing Investment for Seven Major OECD Countries,economics/modelling-housing-investment-for-seven-major-oecd-countries_062214542760,062214542760,1988-12-01
The Changing Infrastructure of Tertiary Education,education/the-changing-infrastructure-of-tertiary-education_840041748815,840041748815,2000-06-01
Nominal Wage Determination in Ten OECD Economies,economics/nominal-wage-determination-in-ten-oecd-economies_543148520161,543148520161,1985-03-01
Global Change in African Fish Trade: Engine of Development or Threat to Local Food Security?,agriculture-and-food/global-change-in-african-fish-trade-engine-of-development-or-threat-to-local-food-security_230215206300,230215206300,2008-12-01
Growth Effects of Education and Social Capital in the OECD Countries,economics/growth-effects-of-education-and-social-capital-in-the-oecd-countries_882344562861,882344562861,2000-10-12
Simplifier les notices d'information sur la protection de la vie privée: Rapport et recommandations de l'OCDE,science-and-technology/simplifier-les-notices-d-information-sur-la-protection-de-la-vie-privee-rapport-et-recommandations-de-l-ocde_231310648428,231310648428,2006-07-24
Digital Broadband Content,science-and-technology/digital-broadband-content_231433678370,231433678370,2006-05-19
The OECD Jobs Strategy,economics/the-oecd-jobs-strategy_808860634734,808860634734,1998-05-15
Biotechnology and Developing Country Agriculture,development/biotechnology-and-developing-country-agriculture_031702011337,031702011337,1990-07-01
Is China the New Centre for Offshoring of IT and ICT-Enabled Services?,science-and-technology/is-china-the-new-centre-for-offshoring-of-it-and-ict-enabled-services_231016734851,231016734851,2007-03-29
Modelling Cyclical Divergence in the Euro Area,economics/modelling-cyclical-divergence-in-the-euro-area_710763183105,710763183105,2004-09-15
La privatisation dans les pays en développement,development/la-privatisation-dans-les-pays-en-developpement_337703878328,337703878328,1992-04-02
La Campanie lance un projet sur la qualité de l'environnement éducatif,education/la-campanie-lance-un-projet-sur-la-qualite-de-l-environnement-educatif_224662634108,224662634108,2009-02-01
Québec : contrat de performance énergétique dans le milieu scolaire - Nouvelles règles du jeu,education/quebec-contrat-de-performance-energetique-dans-le-milieu-scolaire-nouvelles-regles-du-jeu_435046285211,435046285211,1999-10-01
"Ageing, Welfare Serviced and Municipalities in Finland",economics/ageing-welfare-serviced-and-municipalities-in-finland_614657702086,614657702086,2005-05-10
Africa's Private Sector,development/africa-s-private-sector_243761566265,243761566265,2007-05-01
The OECD Guidelines and Other Corporate Responsibility Instruments,finance-and-investment/the-oecd-guidelines-and-other-corporate-responsibility-instruments_302255465771,302255465771,2001-12-01
A Taxonomy of Instruments to Reduce Greenhouse Gas Emissions and their Interactions,economics/a-taxonomy-of-instruments-to-reduce-greenhouse-gas-emissions-and-their-interactions_236846121450,236846121450,2008-09-17
Fiscal Relations Across Levels of Government in Australia,economics/fiscal-relations-across-levels-of-government-in-australia_316586754225,316586754225,2007-01-23
Public-Private Partnerships in Flanders,education/public-private-partnerships-in-flanders_404500178265,404500178265,2006-11-01
Organisational Change and Firm Performance,science-and-technology/organisational-change-and-firm-performance_615168153531,615168153531,2002-04-05
Finland's Housing Market,economics/finland-s-housing-market_045113767231,045113767231,2006-09-08
The Evolution of Skills in OECD Countries and the Role of Technology,science-and-technology/the-evolution-of-skills-in-oecd-countries-and-the-role-of-technology_613570623323,613570623323,1996-01-01
Participatory Governance,development/participatory-governance_888041015581,888041015581,1999-04-01
Low Fertility and Labour Force Participation of Italian Women,social-issues-migration-health/low-fertility-and-labour-force-participation-of-italian-women_263482758546,263482758546,2002-10-16
"Dépenses d'éducation, qualité de l'éducation et pauvreté",development/depenses-d-education-qualite-de-l-education-et-pauvrete_650713828042,650713828042,2000-04-01
Biotechnology and Sustainable Crop Production in Zimbabwe,development/biotechnology-and-sustainable-crop-production-in-zimbabwe_670011267063,670011267063,1995-12-01
The Welfare Effects of Fossil Carbon Restrictions,economics/the-welfare-effects-of-fossil-carbon-restrictions_688110444765,688110444765,1992-01-01
Decentralisation in Asian Health Sectors,development/decentralisation-in-asian-health-sectors_246643041614,246643041614,2006-05-01
Modelling Wages and Prices for the Smaller OECD Countries,economics/modelling-wages-and-prices-for-the-smaller-oecd-countries_283111207150,283111207150,1990-10-01
The Role of Policy and Institutions for Productivity and Firm Dynamics,economics/the-role-of-policy-and-institutions-for-productivity-and-firm-dynamics_547061627526,547061627526,2002-04-23
Social Protection for Dependent Elderly People,social-issues-migration-health/social-protection-for-dependent-elderly-people_271344236402,271344236402,1995-01-01
Pharmaceutical Pricing and Reimbursement Policies in Germany,social-issues-migration-health/pharmaceutical-pricing-and-reimbursement-policies-in-germany_228483137521,228483137521,2008-10-21
Raising Education Outcomes in Greece,economics/raising-education-outcomes-in-greece_221221773888,221221773888,2009-09-21
The Education Challenge in Mexico,economics/the-education-challenge-in-mexico_047122723082,047122723082,2005-09-30
"Taxation, Ethnic Ties and the Location Choice of Highly Skilled Immigrants",social-issues-migration-health/taxation-ethnic-ties-and-the-location-choice-of-highly-skilled-immigrants_523567425558,523567425558,2005-07-29
Aggregate Supply in INTERLINK,economics/aggregate-supply-in-interlink_080723842221,080723842221,1985-11-01
Global Overview of Innovative Activities from the Patent Indicators Perspective,science-and-technology/global-overview-of-innovative-activities-from-the-patent-indicators-perspective_674714465672,674714465672,2006-05-02
The OECD System of Unit Labour Cost and Related Indicators,economics/the-oecd-system-of-unit-labour-cost-and-related-indicators_243142116028,243142116028,2008-03-21
The Airport Industry in a Competitive Environment,transport/the-airport-industry-in-a-competitive-environment_235251766646,235251766646,2008-07-01
Housing Markets and Adjustment in Monetary Union,economics/housing-markets-and-adjustment-in-monetary-union_208627725571,208627725571,2007-04-17
Electronics and Development in Venezuela,development/electronics-and-development-in-venezuela_252117230235,252117230235,1990-10-01
Report on Second Roundtable on Economics for Consumer Policy,science-and-technology/report-on-second-roundtable-on-economics-for-consumer-policy_230744208356,230744208356,2007-07-26
Regulatory Reform as a Tool for Bridging the Digital Divide,science-and-technology/regulatory-reform-as-a-tool-for-bridging-the-digital-divide_232862231573,232862231573,2005-02-23
Biotechnology Indicators and Public Policy,science-and-technology/biotechnology-indicators-and-public-policy_262776281580,262776281580,2003-06-25
Public-Private Partnerships in Development,development/public-private-partnerships-in-development_713520274222,713520274222,2003-11-01
Le complexe urbain de Cattolica en Italie,education/le-complexe-urbain-de-cattolica-en-italie_653828174350,653828174350,2003-06-01
Resolving E-commerce Disputes Online,science-and-technology/resolving-e-commerce-disputes-online_233468177136,233468177136,2002-06-04
Towards Harmonised Bilateral Trade Data for Inter-Country Input-Output Analyses: Statistical Issues,science-and-technology/towards-harmonised-bilateral-trade-data-for-inter-country-input-output-analyses-statistical-issues_226023512638,226023512638,2009-02-25
Concours canadien de financement des infrastructures de recherche,education/concours-canadien-de-financement-des-infrastructures-de-recherche_473681787010,473681787010,1998-10-01
Successful Emerging Domestic Bond Markets in the Global Financial Landscape,development/successful-emerging-domestic-bond-markets-in-the-global-financial-landscape_244623068684,244623068684,2007-04-01
Labour Market Characteristics and International Mobility of Doctorate Holders,science-and-technology/labour-market-characteristics-and-international-mobility-of-doctorate-holders_310254328811,310254328811,2007-02-05
Design Quality Indicator for Schools in the United Kingdom,education/design-quality-indicator-for-schools-in-the-united-kingdom_383321326103,383321326103,2006-11-01
Private Sector participation and Regulatory Reform in Water Supply,development/private-sector-participation-and-regulatory-reform-in-water-supply_245713883474,245713883474,2008-01-01
An Update on Asset Management Plans in the United Kingdom,education/an-update-on-asset-management-plans-in-the-united-kingdom_444022103374,444022103374,1999-10-01
Revision of the High-Technology Sector and Product Classification,science-and-technology/revision-des-classifications-des-secteurs-et-des-produits-de-haute-technologie_050148678127,050148678127,1997-01-01
Globalisation and Competitiveness,science-and-technology/globalisation-and-competitiveness_885511061376,885511061376,1996-01-01
Effects of Tertiary Expansion,education/effects-of-tertiary-expansion_085513474523,085513474523,2007-09-14
Postponement of Maternity and the Duration of Time Spent at Home after First Birth,social-issues-migration-health/postponement-of-maternity-and-the-duration-of-time-spent-at-home-after-first-birth_338705234870,338705234870,2002-10-14
OECD Work on Innovation – A Stocktaking of Existing Work,science-and-technology/oecd-work-on-innovation-a-stocktaking-of-existing-work_227048273721,227048273721,2009-02-02
Are Sovereign Wealth Funds' Investments Politically Biased?,development/are-sovereign-wealth-funds-investments-politically-biased_218475437211,218475437211,2010-01-03
The Privatisation in Developing Countries,development/the-privatisation-in-developing-countries_423186135728,423186135728,1992-04-02
Measures of Job Satisfaction,social-issues-migration-health/measures-of-job-satisfaction_670570634774,670570634774,1998-08-13
The Impact of Laws and Regulations on Micro and Small Enterprises in Niger and Swaziland,development/the-impact-of-laws-and-regulations-on-micro-and-small-enterprises-in-niger-and-swaziland_685353573323,685353573323,1992-09-01
Labour Protection in China,social-issues-migration-health/labour-protection-in-china_325131488300,325131488300,2005-11-07
Two Vocational Training Schools in Quebec,education/two-vocational-training-schools-in-quebec_714830103223,714830103223,2003-02-01
The Costs of Policies to Reduce Global Emissions of CO2,economics/the-costs-of-policies-to-reduce-global-emissions-of-co2_472216424066,472216424066,1991-06-01
"Private Consumption, Inflation and the ""Debt Neutrality Hypothesis""",economics/private-consumption-inflation-and-the-debt-neutrality-hypothesis_012554655282,012554655282,1988-01-01
Health Care Reform Controlling Spending and Increasing Efficiency,economics/health-care-reform-controlling-spending-and-increasing-efficiency_338757855057,338757855057,1994-04-01
Enhancing the Productivity of the Service Sector in Japan,economics/enhancing-the-productivity-of-the-service-sector-in-japan_230272412875,230272412875,2008-12-01
Selecting Indicators for the Quality of Diabetes Care at the Health Systems Level in OECD Countries,social-issues-migration-health/selecting-indicators-for-the-quality-of-diabetes-care-at-the-health-systems-level-in-oecd-countries_165531523300,165531523300,2004-10-28
Digital Broadband Content,science-and-technology/digital-broadband-content_231534841283,231534841283,2006-03-30
Towards Green ICT Strategies,science-and-technology/towards-green-ict-strategies_222431651031,222431651031,2009-05-22
Investment Risk and Pensions,social-issues-migration-health/investment-risk-and-pensions_224016838064,224016838064,2009-06-09
Durabilité et innovation dans les écoles du Royaume-Uni,education/durabilite-et-innovation-dans-les-ecoles-du-royaume-uni_220370028720,220370028720,2009-11-01
Raising Greece's Potential Output Growth,economics/raising-greece-s-potential-output-growth_017462764373,017462764373,2005-10-13
SHA-Based Health Accounts in 13 OECD Countries - Country Studies - Poland,social-issues-migration-health/sha-based-health-accounts-in-13-oecd-countries-country-studies-poland_424841544126,424841544126,2004-08-17
Africa: A New Frontier for Emerging Markets?,development/africa-a-new-frontier-for-emerging-markets_242874161245,242874161245,2007-12-01
Policies for Migration and Development,development/policies-for-migration-and-development_201404814435,201404814435,2006-10-01
Renforcer le rôle économique des femmes dans les pays en développement,development/renforcer-le-role-economique-des-femmes-dans-les-pays-en-developpement_507745543748,507745543748,2005-07-22
Analyse des mesures non tarifaires,trade/analyse-des-mesures-non-tarifaires_103280071325,103280071325,2005-05-18
Higher Education Facilities,education/higher-education-facilities_260546082436,260546082436,2007-03-01
Business Approaches to Combating Bribery,finance-and-investment/business-approaches-to-combating-bribery_082658020086,082658020086,2000-03-01
Disponibilité et caractéristiques des enquêtes sur la destination professionnelle des titulaires de doctorats dans les pays de l'OCDE,science-and-technology/disponibilite-et-caracteristiques-des-enquetes-sur-la-destination-professionnelle-des-titulaires-de-doctorats-dans-les-pays-de-l-ocde_815380682345,815380682345,2003-05-27
Transborder Data Flow Contracts in the Wider Framework of Mechanisms for Privacy Protection on Global Networks,science-and-technology/transborder-data-flow-contracts-in-the-wider-framework-of-mechanisms-for-privacy-protection-on-global-networks_233311170363,233311170363,2000-09-21
The Renewal of the Old Economy,science-and-technology/the-renewal-of-the-old-economy_844262803138,844262803138,2001-10-10
Where Does Inequality Come From?,development/where-does-inequality-come-from_042422851403,042422851403,2001-12-01
Politiques de biotechnologie pour l'agriculture des pays en développement,development/politiques-de-biotechnologie-pour-l-agriculture-des-pays-en-developpement_080058801374,080058801374,1997-04-01
The Turkish Pension System,economics/the-turkish-pension-system_363386547648,363386547648,2006-11-29
"Planification, conception et gestion des établissements d'enseignement supérieur",education/planification-conception-et-gestion-des-etablissements-d-enseignement-superieur_531417244207,531417244207,2005-10-01
OECD's Indicators of International Trade and Competitiveness,economics/oecd-s-indicators-of-international-trade-and-competitiveness_708306180711,708306180711,1992-01-01
Reforms to Open Sheltered Sectors to Competition in Switzerland,economics/reforms-to-open-sheltered-sectors-to-competition-in-switzerland_226785745104,226785745104,2009-02-17
Human Capital in Growth Regressions,economics/human-capital-in-growth-regressions_750033432084,750033432084,2000-10-12
A Visit to Three Parisian School Libraries,education/a-visit-to-three-parisian-school-libraries_481183873647,481183873647,1998-10-01
Trends in OECD Countries' International Competitiveness,economics/trends-in-oecd-countries-international-competitiveness_345570563225,345570563225,1998-04-23
Private Health Insurance in Australia,social-issues-migration-health/private-health-insurance-in-australia_478608584171,478608584171,2003-10-30
Enhancing Incentives to Improve Performance in the Education System in France,economics/enhancing-incentives-to-improve-performance-in-the-education-system-in-france_127375127310,127375127310,2007-08-01
Who Saw Sovereign Debt Crises Coming?,development/who-saw-sovereign-debt-crises-coming_227642504346,227642504346,2008-11-01
Fiscal Relations within the European Union,economics/fiscal-relations-within-the-european-union_618282870448,618282870448,1996-01-01
Liberalisation of Trade in Environmentally Preferable Products,trade/liberalisation-of-trade-in-environmentally-preferable-products_240712186425,240712186425,2005-11-29
The Impact of Industrial Relations Practices on Employment and Unemployment,employment/the-impact-of-industrial-relations-practices-on-employment-and-unemployment_855620410587,855620410587,1995-01-01
Centres municipaux de formation en Hongrie,education/centres-municipaux-de-formation-en-hongrie_746521676274,746521676274,2002-02-01
New York's School for the Physical City,education/new-york-s-school-for-the-physical-city_847605837358,847605837358,2000-06-01
